wellName,MD,CALI,DT,GR,NPHI,RHOB,PHIF,SW,RACEHM_LOG
15/9-F-1 A,3438.4,8.5781,71.6399,29.2174,0.1701,2.39,0.1486,0.8265,0.19382002601611284
15/9-F-1 A,3438.5,8.5781,70.1929,29.7808,0.1592,2.399,0.1434,0.6997,0.2503468004408268
15/9-F-1 A,3438.6,8.5781,68.8082,29.0691,0.1453,2.399,0.1434,0.5789,0.32434419893904065
15/9-F-1 A,3438.7,8.5781,67.4236,28.4691,0.1304,2.3987,0.1436,0.4781,0.4283616050440028
15/9-F-1 A,3438.8,8.5782,66.0838,30.1179,0.1169,2.4065,0.1391,0.4575,0.5031639757248006
15/9-F-1 A,3438.9,8.625,64.7954,30.2155,0.1033,2.4242,0.1291,0.4987,0.5354080599153688
15/9-F-1 A,3439.0,8.625,63.5074,30.2318,0.0963,2.4476,0.1157,0.6073,0.5626734489758712
15/9-F-1 A,3439.1,8.625,62.3671,31.1257,0.092,2.4707,0.1025,0.7592,0.6014189340711174
15/9-F-1 A,3439.2,8.625,61.4339,30.9719,0.0895,2.4895,0.0917,0.8713,0.6517333966103818
15/9-F-1 A,3439.3,8.625,60.5012,30.5187,0.088,2.5024,0.0843,0.9182,0.6759249142309617
15/9-F-1 A,3439.4,8.625,59.7503,32.2953,0.0873,2.508,0.0811,0.886,0.6729379129925345
15/9-F-1 A,3439.5,8.6251,59.3108,31.2674,0.0868,2.509,0.0806,0.7553,0.6946227458308823
15/9-F-1 A,3439.6,8.6485,58.872,30.3896,0.0838,2.5097,0.0802,0.6339,0.7349197838726929
15/9-F-1 A,3439.7,8.6719,58.7097,30.3559,0.0838,2.5165,0.0763,0.511,0.7941044712758557
15/9-F-1 A,3439.8,8.6719,59.1334,29.9275,0.0837,2.5329,0.067,0.4961,0.8238392482676519
15/9-F-1 A,3439.9,8.6719,59.5577,28.7507,0.0841,2.5565,0.0535,0.5711,0.8127863904675694
15/9-F-1 A,3440.0,8.6719,60.1992,30.2974,0.0855,2.5817,0.0391,0.696,0.7745242647341363
15/9-F-1 A,3440.1,8.6719,61.4205,27.8942,0.0883,2.6024,0.0272,0.9554,0.734495797036272
15/9-F-1 A,3440.2,8.6719,62.642,27.6866,0.093,2.6151,0.02,1.0,0.7259116322950482
15/9-F-1 A,3440.3,8.6719,64.0159,27.9503,0.0992,2.6187,0.02,1.0,0.7087352461450995
15/9-F-1 A,3440.4,8.6719,65.9148,29.0596,0.1063,2.613,0.0211,1.0,0.6533765495970246
15/9-F-1 A,3440.5,8.6719,67.8137,29.7049,0.1148,2.5989,0.0291,1.0,0.5885406059677267
15/9-F-1 A,3440.6,8.6718,69.728,28.7291,0.1245,2.5756,0.0425,0.7311,0.5786621272780116
15/9-F-1 A,3440.7,8.6483,71.7135,27.5543,0.1384,2.5467,0.059,0.5413,0.6060372331734994
15/9-F-1 A,3440.8,8.6249,73.6987,27.3182,0.1507,2.5139,0.0777,0.448,0.6396458341545795
15/9-F-1 A,3440.9,8.5781,75.5743,25.9961,0.1659,2.4796,0.0973,0.3789,0.667705050696841
15/9-F-1 A,3441.0,8.5782,76.7105,26.1179,0.1759,2.4439,0.1177,0.3214,0.6804080408833195
15/9-F-1 A,3441.1,8.6015,77.8467,26.8018,0.1787,2.4088,0.1378,0.3009,0.6657685507193798
15/9-F-1 A,3441.2,8.5781,78.9504,27.2609,0.1833,2.3802,0.1541,0.2937,0.6104046205806517
15/9-F-1 A,3441.3,8.5781,79.6883,28.8634,0.1831,2.3625,0.1643,0.2317,0.5749914439774947
15/9-F-1 A,3441.4,8.5781,80.4263,29.7221,0.1835,2.3565,0.1677,0.1978,0.6039666953688472
15/9-F-1 A,3441.5,8.5781,81.1397,30.0991,0.1854,2.3572,0.1673,0.1934,0.6371493654726679
15/9-F-1 A,3441.6,8.5782,81.1525,32.32,0.1878,2.3596,0.1659,0.2056,0.6765564423398699
15/9-F-1 A,3441.7,8.6017,81.1652,31.2085,0.1888,2.3619,0.1646,0.2312,0.6848094680552435
15/9-F-1 A,3441.8,8.6249,81.1769,30.6125,0.1851,2.3657,0.1625,0.2699,0.6398150740607282
15/9-F-1 A,3441.9,8.5781,80.7427,31.3554,0.1877,2.3731,0.1582,0.3216,0.569748341781275
15/9-F-1 A,3442.0,8.5781,80.3009,31.408,0.1896,2.3827,0.1527,0.3907,0.4770054274134943
15/9-F-1 A,3442.1,8.5781,79.8597,33.4681,0.194,2.3899,0.1486,0.4726,0.3848012789620824
15/9-F-1 A,3442.2,8.5781,79.6593,33.9409,0.1981,2.3908,0.1481,0.5288,0.33239805854975424
15/9-F-1 A,3442.3,8.5781,79.4755,34.8803,0.1995,2.3841,0.1519,0.6134,0.26335196839356567
15/9-F-1 A,3442.4,8.5781,79.2927,35.3113,0.1985,2.3729,0.1583,0.6931,0.21708895147917184
